647,Da Lat,12,Nguyen Thi Rieng,Tan Phu,3,1,0,1,1,1,Gan cac khu nghi duong o da lat,0,10000000,Chung Cu,78,,,1005
653,Ha noi,656,Giai Phong,Hoang Mai,4,1,22,1,0,1,An ninh tot chu tro de tinh,1,22986882,Chung Cu,72,2019-03-30,2022-12-31,1006
654,Ha noi,74,Giang Van Minh,Ba Dinh,6,1,22,1,0,0,An ninh tot chu tro de tinh,1,10119506,Chung Cu,54,2019-11-12,2023-10-29,1007
655,Ha noi,343,Kim Giang,Hoang Mai,2,1,0,1,0,1,An ninh tot chu tro de tinh,1,3351414,Nha Tro,31,2019-09-18,2023-06-22,1014
656,TP HCM,600,Nguyen Hue,Quan 1,2,1,22,1,1,1,An ninh tot chu tro de tinh,1,18064977,Chung Cu,55,2019-11-23,2020-11-22,1016
657,Ha noi,117,Truong Chinh,Thanh Xuan,7,1,22,1,1,1,An ninh tot chu tro de tinh,1,4713193,Nha Tro,27,2018-08-26,2021-06-29,1020
658,TP HCM,850,Phan Ton,Quan 1,6,1,22,1,0,1,An ninh tot chu tro de tinh,1,14611697,Chung Cu,101,2019-05-19,2021-10-27,1023
659,TP HCM,723,Nguyen Hue,Quan 1,8,1,22,1,1,0,An ninh tot chu tro de tinh,1,11481071,Chung Cu,67,2019-08-04,2020-10-12,1024
660,TP HCM,737,Phan Ngu,Quan 1,5,1,22,1,0,1,An ninh tot chu tro de tinh,1,17710445,Nha Rieng,29,2018-07-29,2022-06-07,1025
661,Ha noi,91,Thuong Dinh,Thanh Xuan,3,1,0,1,1,0,An ninh tot chu tro de tinh,1,8654240,Nha Rieng,56,2018-12-10,2023-09-12,1028
662,TP HCM,945,Nguyen Hue,Quan 1,8,1,0,1,0,0,An ninh tot chu tro de tinh,1,24353412,Chung Cu,49,2019-09-25,2021-03-08,1038
663,TP HCM,831,Nguyen Huu Canh,Quan 1,8,1,0,1,0,0,An ninh tot chu tro de tinh,1,2945255,Nha Tro,20,2019-02-24,2020-09-09,1049
664,TP HCM,787,Phan Ngu,Quan 1,3,1,24,1,1,1,An ninh tot chu tro de tinh,1,7448968,Chung Cu,65,2019-01-11,2023-01-05,1050
665,Ha noi,353,Chu Van An,Ba Dinh,3,1,23,1,0,0,An ninh tot chu tro de tinh,1,17093475,Nha Rieng,30,2019-08-04,2021-02-12,1053
666,Ha noi,134,Chu Van An,Ba Dinh,1,1,0,1,1,1,An ninh tot chu tro de tinh,1,24209981,Nha Rieng,53,2018-10-09,2020-06-10,1056
667,Ha noi,97,Mai Dong,Hoang Mai,5,1,22,1,1,1,An ninh tot chu tro de tinh,1,4897822,Nha Tro,36,2019-03-05,2023-05-31,1061
668,Ha noi,111,Chu Van An,Ba Dinh,7,1,24,1,0,1,An ninh tot chu tro de tinh,1,2349840,Nha Tro,15,2019-10-27,2020-01-08,1062
669,Ha noi,638,Doi Nhan,Ba Dinh,4,1,24,1,1,1,An ninh tot chu tro de tinh,1,24389364,Nha Rieng,54,2018-02-23,2022-09-12,1065
670,Ha noi,752,Cua Bac,Ba Dinh,2,1,24,1,1,0,An ninh tot chu tro de tinh,1,13828307,Nha Rieng,52,2018-08-23,2022-04-07,1069
671,Ha noi,243,Giang Van Minh,Ba Dinh,7,1,0,1,0,1,An ninh tot chu tro de tinh,1,1145731,Nha Tro,32,2019-11-22,2020-09-16,1072
672,Ha noi,682,Buoi,Ba Dinh,6,1,23,1,0,0,An ninh tot chu tro de tinh,1,1929991,Nha Tro,15,2018-03-07,2022-04-18,1081
673,Ha noi,691,Hoang Van Thai,Thanh Xuan,8,1,0,1,1,1,An ninh tot chu tro de tinh,1,4388317,Nha Tro,26,2019-09-28,2023-05-15,1098
674,TP HCM,593,Nguyen Huu Canh,Quan 1,8,1,23,1,0,1,An ninh tot chu tro de tinh,1,23009674,Nha Rieng,38,2019-01-14,2020-02-04,1103
675,Ha noi,956,Giang Van Minh,Ba Dinh,7,1,0,1,1,1,An ninh tot chu tro de tinh,1,12216430,Nha Rieng,43,2018-02-10,2021-01-06,1105
676,Ha noi,994,Kim Giang,Thanh Xuan,1,1,23,1,0,1,An ninh tot chu tro de tinh,1,9064215,Chung Cu,82,2018-11-21,2023-03-11,1111
677,Ha noi,243,Giang Van Minh,Ba Dinh,7,1,22,1,0,1,An ninh tot chu tro de tinh,1,14097692,Chung Cu,95,2019-05-28,2020-03-22,1118
678,TP HCM,782,Nguyen Hue,Quan 1,3,1,22,1,0,0,An ninh tot chu tro de tinh,1,9574680,Nha Rieng,40,2019-10-16,2021-04-06,1121
